# time (s)	h_+ (strain)	h_x (strain)
-1.981750488	-3.286642137477107844e-21	6.316467614175974611e-22
-1.981689453	-3.140531078502009211e-21	2.971200806668367924e-22
-1.981628418	-3.299608213336906991e-21	5.328708098817263047e-22
-1.981567383	-3.152735517258742996e-21	1.995265238626835153e-22
-1.981506348	-3.309581425228037728e-21	4.337427249528704445e-22
-1.981445312	-3.161934990916945769e-21	1.016134276937885345e-22
-1.981384277	-3.316552247120432863e-21	3.343539186822575927e-22
-1.981323242	-3.168121469279458842e-21	3.472524353184692379e-24
-1.981262207	-3.320513947574393283e-21	2.347960492732316054e-22
-1.981201172	-3.171289718304532371e-21	-9.480425401317148471e-23
-1.981140137	-3.321462595869950277e-21	1.351609356610925398e-22
-1.981079102	-3.171437304835899517e-21	-1.931248606931944970e-22
-1.981018066	-3.319397065371912028e-21	3.554047209769135153e-23
-1.980957031	-3.168564598799906672e-21	-2.913972197152480955e-22
-1.980895996	-3.314319034477822882e-21	-6.397345732765447654e-23
-1.980834961	-3.162674772845706105e-21	-3.895293113370534004e-22
-1.980773926	-3.306232984867267448e-21	-1.632890642185788614e-22
-1.980712891	-3.153773799318798492e-21	-4.874292574659391212e-22
-1.980651855	-3.295146197090432516e-21	-2.623147412623317461e-22
-1.980590820	-3.141870444664665686e-21	-5.850054068378916218e-22
-1.980529785	-3.281068743689810011e-21	-3.609591474768430796e-22
-1.980468750	-3.126976261198855279e-21	-6.821664201166909285e-22
-1.980407715	-3.264013479616118084e-21	-4.591312931624680085e-22
-1.980346680	-3.109105576333239718e-21	-7.788213546281161168e-22
-1.980285645	-3.243996030070772038e-21	-5.567406245784324206e-22
-1.980224609	-3.088275479132569395e-21	-8.748797486465525415e-22
-1.980163574	-3.221034775952887358e-21	-6.536971080538570539e-22
-1.980102539	-3.064505804544255594e-21	-9.702517054976351409e-22
-1.980041504	-3.195150836430303585e-21	-7.499113139315416739e-22
-1.979980469	-3.037819114706540286e-21	-1.064847976811105247e-21
-1.979919434	-3.166368049251460024e-21	-8.452944995836496281e-22
-1.979858398	-3.008240678016198525e-21	-1.158580045378093419e-21
-1.979797363	-3.134712948418943019e-21	-9.397586919660960692e-22
-1.979736328	-2.975798445624864804e-21	-1.251360207311212634e-21
-1.979675293	-3.100214739289077523e-21	-1.033216769510443359e-21
-1.979614258	-2.940523025301413248e-21	-1.343101653314199265e-21
-1.979553223	-3.062905271348043671e-21	-1.125582543032901136e-21
-1.979492188	-2.902447653023397064e-21	-1.433718549250148432e-21
-1.979431152	-3.022819008472817622e-21	-1.216770835960635374e-21
-1.979370117	-2.861608161949224017e-21	-1.523126115840843493e-21
-1.979309082	-2.979992996628054163e-21	-1.306697563437023715e-21
-1.979248047	-2.818042949158579344e-21	-1.611240707180188147e-21
-1.979187012	-2.934466829383950349e-21	-1.395279810593184753e-21
-1.979125977	-2.771792939838392228e-21	-1.697979888367476517e-21
-1.979064941	-2.886282610977863858e-21	-1.482435909595386248e-21
-1.979003906	-2.722901549184699013e-21	-1.783262512012995144e-21
-1.978942871	-2.835484916979196546e-21	-1.568085515513281669e-21
-1.978881836	-2.671414642080772790e-21	-1.867008793454467654e-21
-1.978820801	-2.782120752736291309e-21	-1.652149681095804404e-21
-1.978759766	-2.617380490331162870e-21	-1.949140384739835978e-21
-1.978698730	-2.726239509579907197e-21	-1.734550930069894776e-21
-1.978637695	-2.560849727822572982e-21	-2.029580447323905551e-21
-1.978576660	-2.667892918732242395e-21	-1.815213329204594615e-21
-1.978515625	-2.501875303395330883e-21	-2.108253723250165363e-21
-1.978454590	-2.607135003190890780e-21	-1.894062558898550909e-21
-1.978393555	-2.440512431535638139e-21	-2.185086605047635067e-21
-1.978332520	-2.544022027266704332e-21	-1.971025982172995402e-21
-1.978271484	-2.376818541087756281e-21	-2.260007203847800748e-21
-1.978210449	-2.478612444304752812e-21	-2.046032712208988984e-21
