# time (s)	h_+ (strain)	h_x (strain)
-1.984191895	-5.148701551837976770e-22	3.374235411578490766e-21
-1.984130859	-3.943366591467966314e-22	3.051196684170975718e-21
-1.984069824	-6.122435268517003644e-22	3.358722932766549998e-21
-1.984008789	-4.923738900412535461e-22	3.035876230922532261e-21
-1.983947754	-7.091270136025918948e-22	3.340244617904792910e-21
-1.983886719	-5.898664636640416603e-22	3.017580089401959586e-21
-1.983825684	-8.054301077120656972e-22	3.318816847277920879e-21
-1.983764648	-6.867242850710356942e-22	2.996326296516538481e-21
-1.983703613	-9.010628505562926141e-22	3.294458752499782426e-21
-1.983642578	-7.828578470851755192e-22	2.972135625815974159e-21
-1.983581543	-9.959359159382511284e-22	3.267192198307886965e-21
-1.983520508	-8.781783134489398882e-22	2.945031568366796229e-21
-1.983459473	-1.089960692992868053e-21	3.237041762026175607e-21
-1.983398438	-9.725976015384123057e-22	2.915040311015005811e-21
-1.983337402	-1.183049368412187085e-21	3.204034710321658775e-21
-1.983276367	-1.066028464166812359e-21	2.882190712127736041e-21
-1.983215332	-1.275115007938926226e-21	3.168200973686554628e-21
-1.983154297	-1.158384570818607807e-21	2.846514274770360041e-21
-1.983093262	-1.366071636869607677e-21	3.129573118279923366e-21
-1.983032227	-1.249580587931007549e-21	2.808045117692603078e-21
-1.982971191	-1.455834320009738084e-21	3.088186315335700963e-21
-1.982910156	-1.339532258192258333e-21	2.766819943502158265e-21
-1.982849121	-1.544319240295417729e-21	3.044078308219078411e-21
-1.982788086	-1.428156478858743350e-21	2.722878004745355844e-21
-1.982727051	-1.631443776602417920e-21	2.997289377139578671e-21
-1.982666016	-1.515371379097308999e-21	2.676261067483415596e-21
-1.982604980	-1.717126580401748228e-21	2.947862301374089017e-21
-1.982543945	-1.601096396033059795e-21	2.627013372490885212e-21
-1.982482910	-1.801287651120711410e-21	2.895842319306530554e-21
-1.982421875	-1.685252349697211035e-21	2.575181594322884458e-21
-1.982360840	-1.883848410464300732e-21	2.841277086070314458e-21
-1.982299805	-1.767761516561788880e-21	2.520814797890124525e-21
-1.982238770	-1.964731775207494666e-21	2.784216629079994794e-21
-1.982177734	-1.848547701838364883e-21	2.463964392954446643e-21
-1.982116699	-2.043862228646218134e-21	2.724713301268185584e-21
-1.982055664	-1.927536310303902495e-21	2.404684086501214031e-21
-1.981994629	-2.121165890741169067e-21	2.662821732155491471e-21
-1.981933594	-2.004654415568025205e-21	2.343029832771228004e-21
-1.981872559	-2.196570586530960688e-21	2.598598776908523186e-21
-1.981811523	-2.079830827875098862e-21	2.279059781366941344e-21
-1.981750488	-2.270005913043006837e-21	2.532103463295026223e-21
-1.981689453	-2.152996160323095768e-21	2.212834223322485240e-21
-1.981628418	-2.341403304626381557e-21	2.463396936514243851e-21
-1.981567383	-2.224082893240394049e-21	2.144415535097626505e-21
-1.981506348	-2.410696096530422811e-21	2.392542402238762276e-21
-1.981445312	-2.293025436964280863e-21	2.073868120598410955e-21
-1.981384277	-2.477819586587914195e-21	2.319605067669888463e-21
-1.981323242	-2.359760192823241560e-21	2.001258351512381857e-21
-1.981262207	-2.542711095294123489e-21	2.244652080665048702e-21
-1.981201172	-2.424225612138046218e-21	1.926654505635608658e-21
-1.981140137	-2.605310023922581324e-21	2.167752467217812908e-21
-1.981079102	-2.486362253457405403e-21	1.850126703382397678e-21
-1.981018066	-2.665557910531560303e-21	2.088977067089223276e-21
-1.980957031	-2.546112837770618591e-21	1.771746842852090081e-21
-1.980895996	-2.723398484288802014e-21	2.008398467773461364e-21
-1.980834961	-2.603422301688182930e-21	1.691588532972064969e-21
-1.980773926	-2.778777717573654670e-21	1.926090936878342418e-21
-1.980712891	-2.658237848591778206e-21	1.609727025123060026e-21
-1.980651855	-2.831643875949707014e-21	1.842130352926611846e-21
-1.980590820	-2.710508997653565417e-21	1.526239143384792065e-21
-1.980529785	-2.881947566234555277e-21	1.756594134699761106e-21
-1.980468750	-2.760187630763224270e-21	1.441203213033048346e-21
-1.980407715	-2.929641782074929639e-21	1.669561169052054864e-21
-1.980346680	-2.807228037108559510e-21	1.354698987950944609e-21
-1.980285645	-2.974681947553998757e-21	1.581111737553100738e-21
-1.980224609	-2.851586955727534264e-21	1.266807576564422739e-21
-1.980163574	-3.017025958509947299e-21	1.491327441629146112e-21
-1.980102539	-2.893223615603454741e-21	1.177611366447534192e-21
-1.980041504	-3.056634221430024337e-21	1.400291126593430849e-21
-1.979980469	-2.932099773461101643e-21	1.087193947865132207e-21
-1.979919434	-3.093469690084738652e-21	1.308086804607588711e-21
-1.979858398	-2.968179749368245589e-21	9.956400362045341453e-22
-1.979797363	-3.127497899884252179e-21	1.214799576381250178e-21
-1.979736328	-3.001430459804500725e-21	9.030353932041772759e-22
-1.979675293	-3.158686999630989894e-21	1.120515551931758372e-21
-1.979614258	-3.031821448285195213e-21	8.094667474339288960e-22
-1.979553223	-3.187007781058759604e-21	1.025321770510935310e-21
-1.979492188	-3.059324913652949594e-21	7.150217136931126006e-22
-1.979431152	-3.212433705773827607e-21	9.293061196151657007e-22
-1.979370117	-3.083915735937075707e-21	6.197887116813380103e-22
-1.979309082	-3.234940929765633259e-21	8.325572530732822829e-22
-1.979248047	-3.105571499501959884e-21	5.238568839099393304e-22
